"Q1_Age","Q2_Gender","Q3_Education","Q4_Language","Q5_Native","Q6_Marital_status","Q7_Family","Q8_First_Job_Sec","Q9_Agency_Name_Type","Q10_Emp._Type","Q11_Client_Name_Type","Q12_Reason","Q13_Previous_Job","Q14_Job_Lead","Q15_Guards_Deployed","Q16A_Formal_Recruitment","Q16B_English_Knowledge","Q16C_Comm._Skill","Q16D_Look_Presentable","Q16E_Compliance_Protocol","Q16F_Supervisor_Vigilance","Q16G_Grievance_Reporting","Q16H_Grievance_Redressal","Q16I_Worklife_Balance","Q17A_Jobtask_RecordMaintain","Q17B_Task_Reception","Q17C_Task_Guarding","Q17D_Task_PickandDrop","Q17E_Task_Telephone","Q17F_Documentation","Q17G_CCTV_Monitor","Q17H_Task_FirstAid","Q17I_EmergencyEvacuation","Q17J_Others_Parking_etc","Q18_Training_Agency","Q19A_Agency_Commu","Q19B_Agency_Computer","Q19C_Agency_Dressing","Q19D_Agency_Fire","Q19E_Agency_Emergency","Q19F_Agency_Grooming","Q19G_Agency_CCTV","Q19H_Agency_Walkie_Talkie","Q19I_Agency_Other_Training","Q20_TrainingProvided_Client","Q20A_Client_Communication","Q20B_Client_Computer","Q20C_Client_Dressing","Q20D_Clinet_FireFighting","Q20F_Client_EmergencyResponse","Q20G_Client_Grooming","Q20H_Client_CCTV","Q20I_Client_Walkie_Talkie","Q20J_Client_Other_Training","Q21_RefresherTraining_Agency","Q22_RefresherTraining_Client","Q23_TrainingQuality_Instructions","Q24_TimeNeeded_LearnSecurity","Q25_LongTerm_CareerPlan","Q26_Investment_PersonalDevelopment","Q27_Monthly_Income","Q28_Payment_Method","Q29_Second_Job","Q30_SecondJob_MonthlyIncome","Q31_Remittence_to_Home","Q32_OtherEarning_Members","Q33A_JobBenefits_ESIC","Q33B_JobBenefits_Pension","Q33C_JobBenefits_Bonus","Q33D_JobBenefits_Gratuity","Q33E_JobBenefits_PF","Q33F_JobBenefits_Loan","Q33G_JobBenefits_Kind","Q33H_JobBenefits_Transport","Q33I_JobBenefits_Lodging","Q34_Leaves_Entitled","Q35_Leaves_Paid","Q36_Workplace_Facilities","Q37A_JobTerms_Marksheet","Q37B_JobTerms_Salary","Q37C_JobTerms_Penalty","Q37D_JobTerms_Union","Q37E_JobTerms_TimelyPayment","Q37F_JobTerms_Promotion","Q37G_JobTerms_PaidLeavePayment","Q37H_JobTerms_ProtectiveGear","Q38_WorkWeek_Days","Q39_WorkHours_Daily","Q40_WorkHours_OvertimeFreq","Q41_WorkHours_OvertimeHours","Q42A_JobSatisfaction_JobOverall","Q42B_JobSatisfaction_Salary","Q42C_JobSatisfaction_WorkHours","Q42D_JobSatisfaction_OrgCulture","Q42E_JobSatisfaction_Colleagues","Q42F_JobSatisfaction_SupervisorAgency","Q42G_JobSatisfaction_SupervisorsClient","Q43A_JobPerception_FairTreatment","Q43B_JobPerception_JobSecurity","Q43C_JobPerception_AttritionRate","Q43D_JobPerception_SalaryNegotiation","Q43E_JobPerception_Earning","Q43F_JobPerception_JobRespect","Q43G_JobPerception_VisitorsTreatment","Q43H_JobPerception_CareerPath","Q43I_JobPerception_PrideFactor","Q43J_JobPerception_RecommendFriend"
"26-30","Male","10th pass","Fluent","Maharasthra (other than Mumbai)","Married","Yes",2009,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Walk in","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Will switch to other sector","Yes","10,001-12000","Bank payment","No","no","Not applicable","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","No","No","Yes","No","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Strongly disagree","Agree","Strongly disagree","Agree","Agree","Agree","Strongly disagree","Agree","Agree"
"26-30","Male","10th pass","Minimal/no idea","Maharasthra (other than Mumbai)","Married","Yes",2008,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Good","1 year or more","Prepraing for better career elsewhere","No","9001-10,000","Bank payment","No","no","No","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","No","Yes","Not applicable/no idea","No","Yes","No","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Disagree","Agree","Stronlgy Agree","Stronlgy Agree","Agree","Stronlgy Agree","Strongly Agree"
"31-35","Male","10th pass","Intermediate","Maharasthra (other than Mumbai)","Married","Yes",2010,"MNC player","Permanant contract","Non-MNC office","Found no better job","waiter","Personal contact","20-30","Agress","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1-4weeks","Remain in security sector","No","7001-8000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","No","No","Yes","Yes","No","Yes","6 days","7-8 hours","2-3 times in a month","4-5 hours","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Satisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Agree","Stronlgy Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Stronlgy Agree","Agree"
"20-25","Male","10th pass","Intermediate","Maharasthra (other than Mumbai)","Single","No",2007,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Stronlgy Disagree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Will switch to personal business","No","10,001-12000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","No","No","Yes","No","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Neutral","Agree","Disagree","Agree","Agree","Stronlgy Agree","Agree"
"20-25","Male","12th pass","Intermediate","Maharasthra (other than Mumbai)","Single","No",2011,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1-4weeks","Remain in security sector","No","10,001-12000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","No","No","Yes","Yes","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Disagree","Agree","Stronlgy Agree","Stronlgy Agree","Stronlgy Agree","Agree","Stronlgy Agree","Strongly Agree"
"20-25","Male","12th pass","Fluent","Maharasthra (other than Mumbai)","Married","Yes",2008,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Will switch to personal business","No","10,001-12000","Bank payment","No","no","Not applicable","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","No","Yes","No","No","Yes","Yes","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Neutral","Agree","Disagree","Agree","Disagree","Stronlgy Agree","Agree"
"20-25","Male","12th pass","Intermediate","Other state","Married","Yes",2008,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","4-6 months","Remain in security sector","I plan to do so in future","10,001-12000","Bank payment","No","no","Yes","Brother/Sisters (siblings)","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Not applicable/no idea","No","No","Yes","No","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Disagree","Neutral","Disagree","Agree","Agree","Agree","Strongly disagree"
"31-35","Male","10th pass","Intermediate","Maharasthra (other than Mumbai)","Married","Yes",2007,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1-3 months","Will switch to personal business","Yes","8001-9000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","No","No","Yes","No","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Neutral","Agree","Strongly disagree","Agree","Stronlgy Agree","Stronlgy Agree","Agree"
"20-25","Male","12th pass","Fluent","Maharasthra (other than Mumbai)","Single","No",2008,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Prepraing for better career elsewhere","No","10,001-12000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","No","No","Yes","Yes","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Stronlgy Agree","Agree"
"20-25","Male","12th pass","Fluent","Maharasthra (other than Mumbai)","Single","Yes",2010,"MNC player","Permanant contract","Non-MNC office","Friend/family memebrs are here","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Prepraing for better career elsewhere","Yes","10,001-12000","Bank payment","No","no","Not applicable","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","No","Yes","No","No","Yes","Yes","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Neutral","Agree","Disagree","Agree","Disagree","Stronlgy Agree","Agree"
"41-45","Male","10th pass","Intermediate","Maharasthra (other than Mumbai)","Married","Yes",2006,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Will switch to personal business","No","10,001-12000","Bank payment","No","no","Not applicable","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","No","No","Yes","No","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Neutral","Agree","Disagree","Agree","Disagree","Stronlgy Agree","Agree"
"26-30","Male","12th pass","Intermediate","Mumbai","Married","No",2008,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Walk in","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Will switch to personal business","No","8001-9000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","No","Yes","No","No","No","No","No","No","6 days","7-8 hours","Never","Not applicable","Disatisfied","Disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Stronlgy Agree","Strongly disagree","Disagree","Stronlgy Agree","Stronlgy Agree","Strongly disagree","Stronlgy Agree","Strongly disagree"
"36-40","Male","10th pass","Intermediate","Maharasthra (other than Mumbai)","Married","Yes",2001,"MNC player","Permanant contract","Non-MNC office","Better pay and benefits than elsewhere where they can get employment","courier","Personal contact","20-30","Agress","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Good","4-6 months","Remain in security sector","No","10,001-12000","Bank payment","No","no","Not applicable","Spouse","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","No","No","No","Yes","No","No","Yes","6 days","7-8 hours","Never","Not applicable","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Agree","Agree","Neutral","Disagree","Neutral","Disagree","Disagree","Agree","Agree","Neutral"
"26-30","Male","12th pass","Fluent","Maharasthra (other than Mumbai)","Single","No",2008,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Agress","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Good","I don't know","Prepraing for better career elsewhere","I plan to do so in future","10,001-12000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","No","No","No","No","Yes","Yes","No","No","6 days","7-8 hours","Never","Not applicable","Niether satisfied nor disatisfied","Satisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree"
"31-35","Male","12th pass","Fluent","Maharasthra (other than Mumbai)","Married","Yes",2006,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Remain in security sector","No","9001-10,000","Bank payment","No","no","Not applicable","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","No","Yes","No","Yes","Yes","No","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Neutral","Agree","Disagree","Agree","Disagree","Stronlgy Agree","Agree"
"36-40","Male","12th pass","Fluent","Maharasthra (other than Mumbai)","Married","Yes",2004,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Will switch to personal business","No","10,001-12000","Bank payment","No","no","Not applicable","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","No","Yes","No","No","Yes","Yes","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Neutral","Agree","Disagree","Agree","Disagree","Stronlgy Agree","Agree"
"36-40","Male","10th pass","Intermediate","Maharasthra (other than Mumbai)","Married","Yes",1999,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Agress","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1-7days","Will switch to personal business","No","7001-8000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","Yes","No","Yes","Yes","No","No","6 days","7-8 hours","2-3 times in a month","4-5 hours","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Satisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Agree","Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Stronlgy Agree","Agree"
"31-35","Male","12th pass","Fluent","Maharasthra (other than Mumbai)","Married","Yes",2005,"MNC player","Permanant contract","Non-MNC office","friend/family encouraged","none","Personal contact","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Will switch to personal business","No","10,001-12000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","No","No","Yes","No","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Agree","Strongly disagree","Agree","Strongly disagree","Agree","Agree","Agree","Strongly disagree","Agree","Agree"
"46-50","Male","Stand. 6-9","Intermediate","Mumbai","Married","Yes",2002,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Agress","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Good","1-3 months","Will switch to personal business","No","7001-8000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","No","Yes","Yes","Yes","Yes","No","6 days","7-8 hours","Never","Not applicable","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Stronlgy Agree","Stronlgy Agree","Agree","Strongly disagree","Disagree","Disagree","Neutral","Agree","Stronlgy Agree","Strongly Agree"
"46-50","Male","10th pass","Intermediate","Other state","Married",3,1999,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Walk in","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Stronlgy Disagree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1 year or more","Remain in security sector","No","10,001-12000","Bank payment","No","no","Yes","Brother/Sisters (siblings)","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","No","Yes","No","No","Yes","Yes","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Neutral","Agree","Disagree","Agree","Disagree","Neutral","Agree"
"26-30","Male","Graudate/diploma","Intermediate","Maharasthra (other than Mumbai)","Married","Yes",2005,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Agress","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Good","1-4weeks","Prepraing for better career elsewhere","I plan to do so in future","10,001-12000","Bank payment","No","no","Yes","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","No","No","Yes","No","No","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Stronlgy Agree","Agree"
"20-25","Male","12th pass","Fluent","Maharasthra (other than Mumbai)","Single","No",2013,"MNC player","Permanant contract","Non-MNC office","worked elsewhere but found this better","call cen","Personal contact","20-30","Agress","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Good","1-3 months","Prepraing for better career elsewhere","Yes","9001-10,000","Bank payment","No","no","Yes","Brother/Sisters (siblings)","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","Not applicable/no idea","No","Yes","Not applicable/no idea","Yes","Yes","6 days","7-8 hours","2-3 times in a month","4-5 hours","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Neutral","Agree","Agree","Disagree","Agree","Stronlgy Agree","Agree","Neutral"
"31-35","Female","12th pass","Intermediate","Mumbai","Married","Yes",2008,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Walk in","20-30","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Very Good","1-3 months","Remain in security sector","No","5000-7000","Bank payment","No","no","Yes","Brother/Sisters (siblings)","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","No","Yes","No","Yes","No","No","No","6 days","7-8 hours","2-3 times in a month","4-5 hours","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Stronlgy Agree","Stronlgy Agree","Neutral","Neutral","Agree","Stronlgy Agree","Stronlgy Agree","Neutral","Stronlgy Agree","Strongly Agree"
"26-30","Female","Stand. 6-9","Intermediate","Mumbai","Married","Yes",2012,"MNC player","Permanant contract","Non-MNC office","Found no better job","none","Personal contact","20-30","Agress","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","yes","yes","yes","no","yes","yes","yes","no","yes","no","Yes","Yes","no","yes","yes","yes","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes",2,"Once in three months","Once in three months","Good","1-4weeks","Will switch to personal business","No","7001-8000","Bank payment","No","no","No","Brother/Sisters (siblings)","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 22 days","Uniform","Yes","Yes","Not applicable/no idea","No","Yes","Yes","Yes","No","6 days","7-8 hours","Never","Not applicable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Disatisfied","Dissatisfied","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree"
